time,close
1483228800,116.929
1483232400,116.929
1483236000,116.929
1483239600,116.929
1483243200,116.929
1483246800,116.929
1483250400,116.929
1483254000,116.929
1483257600,116.929
1483261200,116.929
1483264800,116.929
1483268400,116.929
1483272000,116.929
1483275600,116.929
1483279200,116.929
1483282800,116.929
1483286400,116.929
1483290000,116.929
1483293600,116.929
1483297200,116.929
1483300800,116.929
1483304400,116.929
1483308000,116.927
1483311600,116.76299999999999
1485907200,116.74600000000001
1485910800,116.77
1485914400,116.818
1485918000,116.806
1485921600,116.84299999999999
1485925200,116.848
1485928800,116.859
1485932400,117.12299999999999
1485936000,117.37899999999999
1485939600,117.416
1485943200,117.34200000000001
1485946800,117.38799999999999
1485950400,117.48100000000001
1485954000,117.32700000000001
1485957600,117.367
1485961200,117.368
1485964800,117.376
1485968400,117.35799999999999
1485972000,117.461
1485975600,117.59
1485979200,117.575
1485982800,117.509
1485986400,117.306
1485990000,117.454
1488326400,117.359
1488330000,117.385
1488333600,117.383
1488337200,117.37700000000001
1488340800,117.323
1488344400,117.34
1488348000,117.48899999999999
1488351600,117.835
1488355200,118.064
1488358800,118.15299999999999
1488362400,118.262
1488366000,118.2
1488369600,118.163
1488373200,118.182
1488376800,118.25399999999999
1488380400,118.03200000000001
1488384000,117.68799999999999
1488387600,117.434
1488391200,117.59
1488394800,117.671
1488398400,117.73
1488402000,117.74
1488405600,117.698
1488409200,117.632
1491001200,117.945
1491004800,118.141
1491008400,117.945
1491012000,117.934
1491015600,118.00399999999999
1491019200,118.07799999999999
1491022800,118.055
1491026400,117.999
1491030000,117.764
1491033600,117.68700000000001
1491037200,117.6
1491040800,117.57600000000001
1491044400,117.516
1491048000,117.516
1491051600,117.175
1491055200,117.18700000000001
1491058800,117.382
1491062400,117.38
1491066000,117.402
1491069600,117.598
1491073200,117.366
1491076800,117.22200000000001
1491080400,117.264
1491084000,117.134
1493593200,116.366
1493596800,116.535
1493600400,116.52
1493604000,116.47
1493607600,116.39399999999999
1493611200,116.479
1493614800,115.73700000000001
1493618400,115.943
1493622000,116.337
1493625600,116.611
1493629200,116.751
1493632800,116.663
1493636400,116.537
1493640000,116.163
1493643600,116.01299999999999
1493647200,115.48899999999999
1493650800,115.46700000000001
1493654400,115.404
1493658000,115.53399999999999
1493661600,115.584
1493665200,115.564
1493668800,115.345
1493672400,115.43799999999999
1493676000,115.34299999999999
1496271600,115.725
1496275200,115.92
1496278800,115.785
1496282400,115.773
1496286000,115.941
1496289600,115.928
1496293200,116.184
1496296800,116.26100000000001
1496300400,116.064
1496304000,115.969
1496307600,115.76700000000001
1496311200,116.005
1496314800,116.12299999999999
1496318400,116.57799999999999
1496322000,116.58
1496325600,116.49
1496329200,116.854
1496332800,116.87299999999999
1496336400,117.169
1496340000,117.01700000000001
1496343600,117.015
1496347200,116.94200000000001
1496350800,116.94200000000001
1496354400,116.94200000000001
1498863600,116.94200000000001
1498867200,116.94200000000001
1498870800,116.94200000000001
1498874400,116.94200000000001
1498878000,116.94200000000001
1498881600,116.94200000000001
1498885200,116.94200000000001
1498888800,116.94200000000001
1498892400,116.94200000000001
1498896000,116.94200000000001
1498899600,116.94200000000001
1498903200,116.94200000000001
1498906800,116.94200000000001
1498910400,116.94200000000001
1498914000,116.94200000000001
1498917600,116.94200000000001
1498921200,116.94200000000001
1498924800,116.94200000000001
1498928400,116.94200000000001
1498932000,116.94200000000001
1498935600,116.94200000000001
1498939200,116.94200000000001
1498942800,116.94200000000001
1498946400,116.94200000000001
1501542000,116.94200000000001
1501545600,116.94200000000001
1501549200,116.94200000000001
1501552800,116.94200000000001
1501556400,116.94200000000001
1501560000,116.94200000000001
1501563600,116.94200000000001
1501567200,116.94200000000001
1501570800,116.94200000000001
1501574400,116.94200000000001
1501578000,116.94200000000001
1501581600,116.94200000000001
1501585200,116.94200000000001
1501588800,116.94200000000001
1501592400,116.94200000000001
1501596000,116.94200000000001
1501599600,116.94200000000001
1501603200,116.94200000000001
1501606800,116.94200000000001
1501610400,116.94200000000001
1501614000,116.94200000000001
1501617600,116.94200000000001
1501621200,117.17
1501624800,117.148
1504220400,117.184
1504224000,117.22
1504227600,117.31200000000001
1504231200,117.384
1504234800,117.49600000000001
1504238400,117.465
1504242000,117.383
1504245600,117.39399999999999
1504249200,117.141
1504252800,117.069
1504256400,117.044
1504260000,116.75200000000001
1504263600,116.677
1504267200,116.51299999999999
1504270800,116.414
1504274400,116.47200000000001
1504278000,116.081
1504281600,116.169
1504285200,116.27799999999999
1504288800,116.056
1504292400,116.03
1504296000,116.01100000000001
1504299600,115.919
1504303200,115.986
1506812400,116.024
1506816000,116.11399999999999
1506819600,115.62899999999999
1506823200,115.34299999999999
1506826800,115.465
1506830400,115.571
1506834000,115.758
1506837600,115.834
1506841200,115.713
1506844800,116.0
