Gmt time,Open,High,Low,Close,Volume
01.01.2017 00:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 01:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 02:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 03:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 04:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 05:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 06:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 07:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 08:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 09:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 10:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 11:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 12:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 13:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 14:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 15:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 16:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 17:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 18:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 19:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 20:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 21:00:00.000,0.85184,0.85184,0.85184,0.85184,0
01.01.2017 22:00:00.000,0.85136,0.85329,0.85128,0.85167,385.76
01.01.2017 23:00:00.000,0.85177,0.85302,0.85171,0.85183,325.49
02.01.2017 00:00:00.000,0.85177,0.85268,0.85166,0.85186,158.02
02.01.2017 01:00:00.000,0.85187,0.85217,0.85167,0.85182,280.98
02.01.2017 02:00:00.000,0.85182,0.85190,0.85116,0.85132,491.49
02.01.2017 03:00:00.000,0.85134,0.85225,0.85110,0.85200,1607.8101
02.01.2017 04:00:00.000,0.85205,0.85205,0.85166,0.85182,581.27
02.01.2017 05:00:00.000,0.85182,0.85200,0.85142,0.85149,365.98
02.01.2017 06:00:00.000,0.85149,0.85200,0.85130,0.85166,547.77
02.01.2017 07:00:00.000,0.85167,0.85234,0.85146,0.85162,2703.03
02.01.2017 08:00:00.000,0.85163,0.85302,0.84982,0.84995,7253.73
02.01.2017 09:00:00.000,0.84995,0.85134,0.84898,0.85062,7994.75
02.01.2017 10:00:00.000,0.85062,0.85231,0.85019,0.85163,8750.2695
02.01.2017 11:00:00.000,0.85165,0.85244,0.85153,0.85170,3724.95
02.01.2017 12:00:00.000,0.85174,0.85200,0.85125,0.85138,4001.0701
02.01.2017 13:00:00.000,0.85139,0.85175,0.85123,0.85173,4145.25
02.01.2017 14:00:00.000,0.85172,0.85286,0.85157,0.85201,3277.46
02.01.2017 15:00:00.000,0.85199,0.85218,0.85126,0.85151,4662.2202
02.01.2017 16:00:00.000,0.85150,0.85231,0.85136,0.85158,2628.9099
02.01.2017 17:00:00.000,0.85159,0.85203,0.85144,0.85174,1644.85
02.01.2017 18:00:00.000,0.85174,0.85191,0.85152,0.85158,5383.6699
02.01.2017 19:00:00.000,0.85158,0.85187,0.85132,0.85138,3496.95
02.01.2017 20:00:00.000,0.85138,0.85151,0.85114,0.85137,3209.4099
02.01.2017 21:00:00.000,0.85137,0.85154,0.85111,0.85136,2439.8301
02.01.2017 22:00:00.000,0.85127,0.85247,0.85118,0.85200,1459.66
02.01.2017 23:00:00.000,0.85216,0.85233,0.85141,0.85144,6933.5298
03.01.2017 00:00:00.000,0.85147,0.85213,0.85146,0.85165,4085.6899
03.01.2017 01:00:00.000,0.85166,0.85221,0.85143,0.85172,5384.4502
03.01.2017 02:00:00.000,0.85172,0.85191,0.85137,0.85149,4146.7002
03.01.2017 03:00:00.000,0.85150,0.85215,0.85149,0.85211,3223.8701
03.01.2017 04:00:00.000,0.85210,0.85251,0.85175,0.85238,3815.45
03.01.2017 05:00:00.000,0.85238,0.85267,0.85215,0.85244,4554.6001
03.01.2017 06:00:00.000,0.85243,0.85296,0.85215,0.85233,3571.4099
03.01.2017 07:00:00.000,0.85237,0.85244,0.85009,0.85127,8430
03.01.2017 08:00:00.000,0.85130,0.85210,0.84869,0.85194,12647.9805
03.01.2017 09:00:00.000,0.85195,0.85195,0.84624,0.84641,12637.3301
03.01.2017 10:00:00.000,0.84641,0.84811,0.84588,0.84672,8979.8701
03.01.2017 11:00:00.000,0.84671,0.84725,0.84512,0.84561,9857.5898
03.01.2017 12:00:00.000,0.84561,0.84690,0.84499,0.84676,9922.8398
03.01.2017 13:00:00.000,0.84667,0.84732,0.84521,0.84689,8550.4004
03.01.2017 14:00:00.000,0.84690,0.84897,0.84653,0.84802,9442.7305
03.01.2017 15:00:00.000,0.84800,0.84944,0.84680,0.84848,14026.7402
03.01.2017 16:00:00.000,0.84844,0.85053,0.84781,0.84983,14167.5996
03.01.2017 17:00:00.000,0.84982,0.85053,0.84952,0.85043,6278.8599
03.01.2017 18:00:00.000,0.85043,0.85185,0.85034,0.85100,6342.6099
03.01.2017 19:00:00.000,0.85100,0.85115,0.85047,0.85078,6014.2202
03.01.2017 20:00:00.000,0.85079,0.85104,0.84999,0.85027,5113.6001
03.01.2017 21:00:00.000,0.85024,0.85069,0.84997,0.85021,4410.6401
03.01.2017 22:00:00.000,0.85021,0.85044,0.84984,0.85022,2312.05
03.01.2017 23:00:00.000,0.85025,0.85116,0.85025,0.85075,6557.9102
04.01.2017 00:00:00.000,0.85074,0.85086,0.84987,0.84995,6648.2598
04.01.2017 01:00:00.000,0.84996,0.85043,0.84946,0.84948,6981.54
04.01.2017 02:00:00.000,0.84946,0.85036,0.84946,0.85019,6079.3301
04.01.2017 03:00:00.000,0.85018,0.85021,0.84963,0.84999,4486.9502
04.01.2017 04:00:00.000,0.84998,0.85018,0.84972,0.84973,3983.8501
